aboard|type|cn / ln|date|fatalities|flight #|ground|location|operator|registration|route|summary|time
2   (passengers:0  crew:2)|Beechcraft 1900C-1|UC-45|January 22, 2010|2   (passengers:0  crew:2)|22|0|Off Sand Point, Alaska|Alaska Central Express|N112AX|Sand Point - Anchorage|The cargo plane crashed into the water shortly after taking off with a cargo of fish and mail.|0010
90   (passengers:82  crew:8)|Boeing 737-8AS|29935/1061|January 25, 2010|90   (passengers:82  crew:8)|409|0|Off Na'ameh, Lebanon|Ethiopian Airlines|ET-ANB|Beirut, Lebanon - Addis Ababa, Ethiopia|The passenger plane disappeared off radar shortly after taking off from Rafik Hariri International Airport in stormy weather and crashed into the Mediterranean Sea, two miles west of  the village of Na'ameh, Lebanon. The flight crew's mismanagement of the aircraft's speed, altitude, headings and attitude through inconsistent flight control inputs resulting in a loss of control. The flight crew failure to abide by CRM principles of mutual support and calling deviations hindered any timely intervention and correction.|0235
10   (passengers:8  crew:2)|Embraer EMB-110C Bandeirante|110103|January 25, 2010|2   (passengers:1  crew:1)|?|0|Near Senador Jose Porfírio, Brazil|Piquiatuba Taxi Aereo|PT-TAF|Belem - Senador Jose Porfírio|The commuter plane crashed while attempting to land, killing the captain and one passenger.|1430
8   (passengers:6  crew:2)|GAF N22B Nomad|N22B-18|January 28, 2010|8   (passengers:6  crew:2)|?|1|Cotabato City, Philippines|Military - Philippine Air Force|18|Cotabato Cty - Zamboanga City|While taking off, the crew experienced an engine fire and tried to make an emergency landing but crashed into a residential neighborhood.|1130
11   (passengers:9  crew:2)|Helicopter|?|February 14, 2010|11   (passengers:9  crew:2)|?|2|Near Saada, Yemen|Military - Yemeni Arm|?|?|The helicopter crashed into a military vehicle shortly after taking off from the military airport carrying seven wounded soldiers and its crew of four soldiers. The accident was reported to have been caused by a technical fault.|?
96   (passengers:88  crew:8)|Tupolev 154M|90A837|April 10, 2010|96   (passengers:88  crew:8)|PLF 101|0|Smolensk, Russia|Military - Polish Air Force|101|Warsaw, Poland - Smolensk Russia|The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers. Polish president Lech Kaczynski and his wife were among the dead.|1041
18   (passengers:15  crew:3)|Mi-8|?|April 10, 2010|10   (passengers:8  crew:2)|?|?|Near Yelizovo, Russia|Kamchatka Airlines|?|Elizovo - Dukup|The helicopter was flying German and Russian snowboarders during a showboarding tour when it crash, 67 km away from Yelizovo.|0327
5   (passengers:0  crew:5)|Airbus A300B4-203F|078|April 13, 2010|5   (passengers:0  crew:5)|302|2|Monterey, Mexico|Airborne Freight Company Union|XA-TUE|Mexico City - Monterey - Los Angeles|The cargo plane was making a stop at Monterey on its way to Los Angeles when it crashed 1.5 km from the airport, while making a final approach to General Mariano Escobedo International Airport. The aircraft was cleared to land on Runway 11, when the crew decided to abort the landing. The plane then crashed onto Avenida Miguel Aleman roadway, striking a car and killing the driver. The plane then broke apart and burst into flames.|2315
6   (passengers:0  crew:6)|Antonov An-12BP|402001|April 21, 2010|3   (passengers:0  crew:3)|?|0|Pampanga, Philippines|Interisland Airlines|UP-AN216|Cebu - Pampanga|An electrical fire forced the cargo plane's pilot to attempt an emergency landing in a rice field when the plane crashed, broke into pieces, and burst into flames.|2110
104   (passengers:93  crew:11)|Airbus A330-202|1024|May 12, 2010|103   (passengers:92  crew:11)|771|0|Tripoli, Libya|Afriqiyah Airways|5A-ONG|Johannesburg, South Africa - Tripoli, Libya|The aircraft crashed and disintegrated one-half a mile from the runway while attempting to land at Tripoli International Airport. Ninety-two passenger and a crew of 11 were killed. A 8 year old Dutch boy was the sole survivor. Failure of the two pilots to coordinate their actions during the initial approach, with the final approach attempted below the minimum descent altitude and the runway not visible. Realizing that the approach had been misjudged, the co-pilot, who was in command, attempted to pull the plane up in order to perform a new landing, which disabled the auto pilot, but the captain had retaken control of the aircraft without informing his co-pilot, leading to the crash. Lack of coordination between the two pilots and the inappropriate application of flight control inputs during the attemped go-around. The length of the trip and crew fatigue was a factor.|0610
